COMMON_NAME,urban_index
Rufous Scrub-bird,0.039345814
Rufous Songlark,0.060103715
Rufous Treecreeper,0.052233623
Rufous Whistler,0.22362205
Russet-tailed Thrush,0.056239603
Sacred Kingfisher,1.175741459
Sanderling,0.121577782
Sandstone Shrikethrush,0.01217867
Sarus Crane,0.113386679
Satin Bowerbird,0.13415976
Satin Flycatcher,0.153074658
Scaly-breasted Lorikeet,2.708510232
Scaly-breasted Munia,5.959882254
Scarlet Myzomela,0.498967861
Scarlet Robin,0.210421873
Scrubtit,0.088800535
Sharp-tailed Sandpiper,1.164257924
Shining Bronze-Cuckoo,0.238157142
Shining Flycatcher,0.072032927
Shy Heathwren,0.040234696
Silver-backed Butcherbird,0.072193582
Silver-crowned Friarbird,0.018876703
Silver-eye,1.563567403
Silver Gull,4.093145483
Singing Honeyeater,0.210612223
Slaty-backed Thornbill,0.035013739
Slender-billed Thornbill,0.054413592
Song Thrush,14.5475471
Sooty Owl,0.05227232
Sooty Oystercatcher,0.413316581
Sooty Tern,0.027540915
Southern Boobook,0.144326771
Southern Cassowary,0.113850256
Southern Emuwren,0.093364763
Southern Scrub-Robin,0.035421635
Southern Whiteface,0.037472189
Spangled Drongo,0.879201055
Speckled Warbler,0.189860326
Spectacled Monarch,0.053329478
Spinifex Pigeon,0.032116487
Spinifexbird,0.042077051
Spiny-cheeked Honeyeater,0.044561609
Splendid Fairywren,0.085233326
Spotless Crake,6.832001229
Spotted Bowerbird,0.031032651
Spotted Catbird,0.034829523
Spotted Dove,9.929931653
Spotted Harrier,0.144688872
Spotted Nightjar,0.02588006
Spotted Pardalote,1.585359276
Spotted Quail-thrush,0.074815189
Spotted Whistling-Duck,0.121017724
Square-tailed Kite,0.516561967
Squatter Pigeon,0.02683163
Star Finch,0.063397516
Straw-necked Ibis,0.999650455
Striated Fieldwren,0.297241975
Striated Heron,5.462533347
Striated Pardalote,0.62626439
Striated Thornbill,0.246647748
Striped Honeyeater,0.310601337
Strong-billed Honeyeater,0.099550325
Stubble Quail,0.168027531
Sulphur-crested Cockatoo,2.401350186
Superb Fairywren,1.22677238
Superb Fruit-Dove,0.030106606
Superb Lyrebird,0.088083545
Superb Parrot,7.823937175
Swamp Harrier,0.945184545
Swift Parrot,1.047600316
Tasmanian Nativehen,0.702256921
Tasmanian Scrubwren,0.099346868
Tasmanian Thornbill,0.089932449
Tawny-breasted Honeyeater,0.017566406
Tawny-crowned Honeyeater,0.047062011
Tawny Frogmouth,9.29403725
Tawny Grassbird,5.268596928
Terek Sandpiper,0.278171384
Tooth-billed Catbird,0.034808723
Topknot Pigeon,0.088159338
Torresian Crow,1.335598424
Torresian Imperial-Pigeon,0.905486357
Torresian Kingfisher,6.40411524
Tree Martin,0.363986444
Tropical Scrubwren,0.10678634
Trumpet Manucode,0.017606037
Turquoise Parrot,0.045853162
Varied Honeyeater,1.313637856
Varied Lorikeet,0.026457469
Varied Sittella,0.173507992
Varied Triller,0.207457432
Variegated Fairywren,0.680598521
Victoria's Riflebird,0.041294946
Wandering Tattler,1.108616534
Wandering Whistling-Duck,1.077331436
Wedge-tailed Eagle,0.083572751
Weebill,0.203296646
Welcome Swallow,2.107026993
Western Bowerbird,0.198776133
Western Bristlebird,0.047062011
Western Corella,0.052354224
Western Gerygone,0.636328055
Western Rosella,0.126774478
Western Spinebill,0.10428389
Western Thornbill,0.074981286
Western Wattlebird,1.560284551
Western Whipbird,0.04434445
Western Whistler,0.094502984
Western Yellow Robin,0.057830771
Whimbrel,1.313637856
Whiskered Tern,0.499298724
Whistling Kite,0.253965309
White-backed Swallow,0.047694357
White-bellied Cuckooshrike,0.121017724
White-bellied Sea-Eagle,0.405832935
White-breasted Robin,0.107365218
White-breasted Whistler,0.050956986
White-breasted Woodswallow,0.863679206
White-browed Babbler,0.050536122
White-browed Crake,1.45204345
White-browed Robin,0.119242528
White-browed Scrubwren,1.2604901
White-browed Treecreeper,0.030932633
White-browed Woodswallow,0.04495359
White-cheeked Honeyeater,0.578656915
White-eared Honeyeater,0.115094354
White-eared Monarch,0.22518062
White-eyed Duck,4.066080944
White-faced Heron,1.45204345
White-faced Robin,0.017606037
White-fronted Chat,0.248479704
White-fronted Honeyeater,0.032484963
White-fronted Tern,1.108616534
White-gaped Honeyeater,0.846026348
White-headed Pigeon,0.129059135
White-naped Honeyeater,0.121284672
White-plumed Honeyeater,1.02191829
White-quilled Rock-Pigeon,0.013194349
White-streaked Honeyeater,0.021058089
White-throated Gerygone,0.238157142
White-throated Honeyeater,0.247892805
White-throated Needletail,0.616202082
White-throated Nightjar,0.095633922
White-throated Treecreeper,0.137827633
White-winged Chough,0.197449272
White-winged Fairywren,0.050404002
White-winged Tern,0.73076757
White-winged Triller,0.078724515
White Tern,0.027458861
Willie-wagtail,1.113426097
Wompoo Fruit-Dove,0.05227232
Wonga Pigeon,0.088083545
Wood Sandpiper,4.52158142
Yellow-billed Kingfisher,0.017606037
Yellow-billed Spoonbill,0.779974112
Yellow-breasted Boatbill,0.026723066
Yellow-faced Honeyeater,0.321426971
Yellow-plumed Honeyeater,0.035066243
Yellow-rumped Thornbill,0.630930982
Yellow-spotted Honeyeater,0.098424556
Yellow-tailed Black-Cockatoo,0.275074688
Yellow-throated Honeyeater,0.500870431
Yellow-throated Miner,0.049120249
Yellow-throated Scrubwren,0.056115058
Yellow-tinted Honeyeater,0.020251114
Yellow-tufted Honeyeater,0.086479793
Yellow Chat,0.038585236
Yellow Honeyeater,1.213867212
Yellow Thornbill,0.677653941
Yellow Wattlebird,1.165489424
Zebra Finch,0.049480176
Zitting Cisticola,0.053722897
